Wavelength Signal SignalFiltered 
350.2 274.3 50.0
350.8 281.5 49.7
351.4 285.9 49.5
352.0 293.0 48.6
352.6 298.8 48.4
353.2 303.2 47.6
353.8 312.8 48.7
354.4 322.6 48.0
354.9 333.7 48.2
355.5 342.6 48.2
356.1 355.5 49.0
356.7 369.5 48.6
357.3 377.6 49.0
357.9 389.1 50.3
358.5 400.9 49.6
359.0 411.6 49.4
359.6 422.7 49.7
360.2 432.8 49.4
360.8 447.2 49.4
361.4 459.5 47.7
362.0 474.0 46.4
362.6 489.0 45.5
363.1 499.0 45.3
363.7 514.6 46.4
364.3 529.5 45.4
364.9 540.4 45.6
365.5 552.2 45.6
366.1 565.9 43.5
366.7 578.8 44.3
367.2 586.5 44.8
367.8 597.5 44.9
368.4 619.3 46.0
369.0 635.8 45.1
369.6 649.9 46.0
370.2 666.4 45.7
370.8 685.6 45.4
371.3 704.8 46.4
371.9 721.6 46.8
372.5 742.1 47.0
373.1 768.8 47.2
373.7 786.5 47.0
374.3 807.2 46.8
374.8 840.0 46.2
375.4 870.8 45.5
376.0 898.7 45.2
376.6 923.5 45.0
377.2 953.5 44.9
377.8 981.8 46.0
378.4 1001.8 45.6
378.9 1022.4 44.7
379.5 1038.3 46.9
380.1 1048.8 47.0
380.7 1070.9 47.0
381.3 1090.5 47.8
381.9 1120.5 48.6
382.4 1149.1 47.5
383.0 1175.7 47.1
383.6 1201.7 47.7
384.2 1235.3 46.7
384.8 1278.3 46.0
385.4 1311.3 46.6
386.0 1337.9 45.9
386.5 1375.3 47.1
387.1 1400.6 47.5
387.7 1420.3 48.0
388.3 1441.2 47.9
388.9 1463.4 49.0
389.5 1493.5 49.9
390.0 1511.8 48.5
390.6 1539.0 49.6
391.2 1556.8 51.9
391.8 1564.3 52.3
392.4 1591.9 52.5
393.0 1614.1 53.2
393.5 1637.8 53.7
394.1 1669.7 53.8
394.7 1694.7 54.8
395.3 1718.5 55.8
395.9 1738.1 55.6
396.5 1756.4 55.6
397.0 1792.4 54.8
397.6 1810.5 53.6
398.2 1856.7 55.7
398.8 1902.2 56.4
399.4 1922.2 55.6
400.0 1946.9 57.5
400.5 1971.1 57.3
401.1 1995.3 58.2
401.7 2016.5 59.1
402.3 2039.5 60.6
402.9 2067.0 62.2
403.5 2073.1 62.5
404.0 2094.0 63.5
404.6 2127.6 64.9
405.2 2143.2 63.6
405.8 2183.8 65.1
406.4 2204.2 64.6
407.0 2244.9 64.3
407.5 2276.3 65.7
408.1 2309.0 65.9
408.7 2336.2 65.2
409.3 2357.0 66.1
409.9 2397.4 65.3
410.5 2442.4 66.5
411.0 2495.8 67.5
411.6 2564.5 68.2
412.2 2622.7 68.8
412.8 2692.2 68.2
413.4 2766.0 68.2
414.0 2828.7 69.0
414.5 2906.1 68.1
415.1 2947.7 69.7
415.7 2992.7 69.5
416.3 3019.9 69.1
416.9 3073.0 70.6
417.5 3085.9 71.0
418.0 3095.1 72.7
418.6 3113.6 74.4
419.2 3184.2 74.4
419.8 3180.8 76.3
420.4 3181.2 78.0
420.9 3254.3 78.5
421.5 3275.7 78.3
422.1 3308.4 78.1
422.7 3385.2 78.2
423.3 3492.7 76.4
423.9 3599.5 76.9
424.4 3648.8 77.6
425.0 3723.2 76.8
425.6 3810.1 75.5
426.2 3826.5 76.2
426.8 3885.6 78.2
427.3 3916.0 78.7
427.9 3951.9 80.6
428.5 3938.6 82.0
429.1 3907.3 82.0
429.7 3904.6 84.0
430.3 3931.8 83.5
430.8 3964.9 83.8
431.4 3996.3 85.7
432.0 4025.4 84.8
432.6 4057.4 85.5
433.2 4085.8 86.1
433.7 4115.0 87.3
434.3 4144.2 86.6
434.9 4174.1 86.1
435.5 4200.3 88.4
436.1 4233.6 89.1
436.7 4258.4 89.2
437.2 4293.4 91.9
437.8 4319.9 91.7
438.4 4351.1 91.5
439.0 4387.0 93.4
439.6 4425.7 94.3
440.1 4462.4 93.9
440.7 4507.3 95.2
441.3 4550.5 96.3
441.9 4603.1 96.5
442.5 4656.2 95.8
443.0 4717.7 97.3
443.6 4781.3 98.5
444.2 4845.0 96.5
444.8 4910.4 97.5
445.4 4991.0 99.0
445.9 5074.8 97.7
446.5 5155.4 97.8
447.1 5235.4 96.8
447.7 5319.7 98.7
448.3 5397.0 99.4
448.8 5479.5 99.1
449.4 5564.8 99.8
450.0 5647.1 102.0
450.6 5721.4 101.7
